Date,Cas confirmés,Hospitalisations,Nvx hospitalisés,Guérisons,En réanimation,Nvx en réanimation,Décès en hopital,Cas confirmés EHPAD et EMS,Décès EHPAD et EMS
24/01/2020,3,,,,,,,,
25/01/2020,,,,,,,,,
26/01/2020,,,,,,,,,
27/01/2020,,,,,,,,,
28/01/2020,,,,,,,,,
29/01/2020,1,,,,1,,,,
30/01/2020,1,,,,,,,,
31/01/2020,,,,,,,,,
01/02/2020,,,,,,,,,
02/02/2020,,,,,,,,,
03/02/2020,,,,,,,,,
04/02/2020,,,,,,,,,
05/02/2020,,,,,,,,,
06/02/2020,,,,,,,,,
07/02/2020,,,,,,,,,
08/02/2020,,,,,,,,,
09/02/2020,,,,,,,,,
10/02/2020,,,,,,,,,
11/02/2020,,,,,,,,,
12/02/2020,,,,,,,,,
13/02/2020,,,,1,,,,,
14/02/2020,,,,,,,,,
15/02/2020,,,,,,,0,,
16/02/2020,,,,,,,0,,
17/02/2020,,,,,,,0,,
18/02/2020,,,,,,,0,,
19/02/2020,,,,,,,0,,
20/02/2020,,7,,,,,0,,
21/02/2020,,-10,,,,,0,,
22/02/2020,,,,,,,0,,
23/02/2020,,,,,,,0,,
24/02/2020,,,,,,,0,,
25/02/2020,,,,,,,0,,
26/02/2020,4,2,,,,,1,,
27/02/2020,20,20,,,,,0,,
28/02/2020,19,,,,,,0,,
29/02/2020,43,,,,,,0,,
01/03/2020,30,30,,,,,0,,
02/03/2020,61,,,,,,1,,
03/03/2020,21,,,,,,1,,
04/03/2020,73,,,,,,0,,
05/03/2020,138,,,,8,,3,,
06/03/2020,190,,,,16,,2,,
07/03/2020,336,,,,6,,7,,
08/03/2020,177,,,,,,3,,
09/03/2020,286,,,,,,6,,
10/03/2020,372,,,,20,,8,,
11/03/2020,497,,,,19,,15,,
12/03/2020,595,,,,24,,13,,
13/03/2020,785,,,,25,,18,,
14/03/2020,839,,,,146,,12,,
15/03/2020,1878,,,,,,70,,
16/03/2020,255,,,,,,-13,,
17/03/2020,1097,,,,,,27,,
18/03/2020,1404,1047,,398,232,,89,,
19/03/2020,1861,835,2229,300,191,438,108,,
20/03/2020,1617,765,1256,287,175,242,78,,
21/03/2020,1847,946,1540,224,228,298,112,,
22/03/2020,2230,1068,1534,389,221,309,112,,
23/03/2020,3167,1435,2053,367,336,448,186,,
24/03/2020,2446,1501,2618,714,434,571,240,,
25/03/2020,2931,1363,3166,619,311,607,231,,
26/03/2020,3922,2365,3097,1048,548,612,365,,
27/03/2020,3809,1828,3059,750,412,608,299,,
28/03/2020,4611,1888,3353,926,486,695,319,,
29/03/2020,2599,1734,2685,507,359,543,292,,
30/03/2020,4376,1654,3108,793,475,694,418,,
31/03/2020,7578,1749,4145,1520,458,767,499,,
01/04/2020,4861,1882,4281,1491,452,771,509,,
02/04/2020,2116,1607,3845,1493,382,728,471,,513
03/04/2020,5233,1186,3627,1580,263,640,588,,532
04/04/2020,4267,711,2822,1430,176,502,441,,612
05/04/2020,1873,748,1931,745,140,390,357,,161
06/04/2020,3912,831,2754,1067,94,478,605,,228
07/04/2020,3777,305,3277,2087,59,518,597,,820
08/04/2020,3881,348,3139,1917,17,482,541,,0
09/04/2020,4286,392,2990,1952,-82,369,412,,929
10/04/2020,4342,500,3161,1726,-62,431,554,,433
11/04/2020,3114,53,2044,1999,-121,255,345,,290
12/04/2020,1613,506,1688,255,-38,220,310,,251
13/04/2020,2673,287,1257,532,-24,227,335,523,239
14/04/2020,5497,179,1965,1087,-91,275,541,569,221
15/04/2020,2633,-513,2415,2190,-273,284,514,1343,924
16/04/2020,2641,-474,2084,1817,-209,270,417,4574,336
17/04/2020,405,-115,2166,1608,-221,242,418,1305,343
18/04/2020,2569,-551,1565,1563,-194,206,364,1891,278
19/04/2020,785,-29,890,595,-89,137,227,885,168
20/04/2020,2051,-26,1464,831,-61,208,444,620,103
21/04/2020,2667,-478,1885,1772,-250,190,387,,144
22/04/2020,1827,-365,1619,1476,-215,183,336,,208
23/04/2020,1653,-522,1410,1431,-165,178,311,1327,205
24/04/2020,1773,-561,1346,1405,-183,155,305,1040,84
25/04/2020,1537,-436,999,1101,-145,124,198,1246,171
26/04/2020,461,-5,481,309,-43,79,152,517,90
27/04/2020,3764,-162,964,610,-74,125,295,584,142
28/04/2020,1520,-571,1321,1373,-221,153,313,590,54
29/04/2020,-1417,-650,1070,1342,-180,110,243,978,184
30/04/2020,1139,-551,1048,1248,-188,121,191,560,98
01/05/2020,604,-396,668,736,-141,73,125,436,93
02/05/2020,794,-60,453,350,-51,64,118,480,48
03/05/2020,308,-12,345,222,-8,80,96,90,39
04/05/2020,576,-267,689,587,-123,84,243,430,63
05/05/2020,1104,-773,987,1365,-266,111,234,317,96
06/05/2020,4183,-792,833,1236,-283,69,177,399,101
07/05/2020,629,-775,728,1055,-186,99,149,146,29
08/05/2020,642,-484,510,755,-93,89,111,237,132
09/05/2020,433,-110,265,256,-56,38,76,156,4
10/05/2020,209,-45,253,179,-36,38,69,190,1
11/05/2020,456,-285,523,507,-64,82,178,-41,85
12/05/2020,708,-689,670,1061,-170,92,183,242,165
13/05/2020,507,-524,543,888,-114,69,98,167,-15
14/05/2020,622,-608,542,932,-129,52,123,216,228
15/05/2020,563,-602,438,843,-96,64,118,306,-14
16/05/2020,372,-429,350,618,-71,46,70,49,26
17/05/2020,120,-71,152,147,-45,24,54,286,429
18/05/2020,492,-346,375,515,-89,38,123,138,8
19/05/2020,524,-547,506,835,-104,69,125,-69,-342
20/05/2020,418,-527,432,791,-100,43,98,221,12
21/05/2020,318,-358,271,504,-49,28,58,102,25
22/05/2020,393,-200,263,351,-44,36,74,0,0
23/05/2020,250,-205,233,338,-36,30,43,0,0
24/05/2020,115,7,121,70,-10,24,35,0,0
25/05/2020,358,-387,342,582,-46,45,90,0,0
26/05/2020,276,-534,318,680,-54,37,83,382,-10
27/05/2020,191,-584,271,705,-54,32,65,0,1
28/05/2020,3325,-372,253,607,-72,36,66,0,0
29/05/2020,597,-613,255,612,-68,29,61,38,-9
30/05/2020,1828,-315,227,465,-36,29,57,0,0
31/05/2020,257,-58,72,87,-6,18,31,0,0
01/06/2020,338,-34,89,85,-17,9,31,0,0
02/06/2020,-766,-260,229,372,-49,33,84,132,23
03/06/2020,352,-514,250,643,-43,26,81,0,0
04/06/2020,767,-413,195,521,-47,23,44,0,0
05/06/2020,611,-405,213,528,-69,19,46,0,0
06/06/2020,579,-217,143,302,-35,15,31,0,0
07/06/2020,343,-18,37,36,-6,4,13,0,0
08/06/2020,211,-146,145,220,-29,23,54,0,0
09/06/2020,403,-354,169,444,-69,15,53,194,34
10/06/2020,545,-283,130,326,-22,23,23,0,0
11/06/2020,425,-213,143,317,-30,26,27,0,0
12/06/2020,726,-341,136,423,-24,18,28,0,0
13/06/2020,526,-215,68,236,-8,14,24,0,0
14/06/2020,407,-28,33,51,-2,6,9,0,0
15/06/2020,152,-129,114,185,-23,12,29,0,0
16/06/2020,344,-217,143,291,-26,14,38,302,73
17/06/2020,458,-268,116,332,-48,14,28,0,0
18/06/2020,467,-142,136,220,-20,15,28,0,0
19/06/2020,811,-155,116,230,-25,10,14,0,0
20/06/2020,641,-133,90,195,-12,7,16,0,0
21/06/2020,284,-14,48,60,0,5,7,0,0
22/06/2020,373,-130,142,240,-14,16,23,0,0
23/06/2020,517,-202,117,259,-19,15,26,94,31
24/06/2020,81,-192,97,256,-24,8,11,0,0
25/06/2020,0,-158,124,224,-7,15,21,0,0
26/06/2020,1588,-255,87,298,-17,15,26,0,0
27/06/2020,518,0,,0,0,,0,0,0
28/06/2020,526,0,,0,0,,0,0,0
29/06/2020,280,-198,102,350,-15,15,35,0,0
30/06/2020,541,-152,152,275,-17,8,21,112,9
01/07/2020,918,-200,106,275,-20,17,18,0,0
02/07/2020,659,-188,93,253,-9,12,14,0,0
03/07/2020,582,-158,125,258,-13,12,18,0,0
04/07/2020,751,,,,,,,,
05/07/2020,448,,,,,,,,
06/07/2020,176,,98,,,10,,,
07/07/2020,475,-256,127,336,-10,21,34,1149,-21
08/07/2020,663,-297,83,341,-9,18,32,0,0
09/07/2020,621,-120,79,174,-17,8,14,0,0
10/07/2020,658,-115,136,218,-16,9,25,0,0
11/07/2020,752,,,,,,,0,0
12/07/2020,585,,,,,,,0,0
13/07/2020,288,,68,,,10,,0,0
14/07/2020,511,,,,,,,0,0
15/07/2020,416,,133,,,16,,208,65
16/07/2020,534,-119,119,216,-1,23,18,0,0
17/07/2020,836,-108,119,208,-4,17,14,0,0
18/07/2020,965,,,,,,,0,0
19/07/2020,765,,,,,,,0,0
20/07/2020,350,,,,,,,0,0
21/07/2020,584,-107,109,193,-12,12,13,90,-25
22/07/2020,998,-116,132,223,-10,17,7,0,0
23/07/2020,1062,-409,123,515,-9,13,10,0,0
24/07/2020,1130,-237,126,343,-26,16,10,0,0
25/07/2020,,,,,,,,0,0
26/07/2020,,,,,,,,0,0
27/07/2020,,,118,,,25,,0,0
28/07/2020,725,-104,172,229,-13,22,15,84,-1
29/07/2020,1392,-101,118,189,-5,14,15,0,0
30/07/2020,1377,-75,116,167,1,14,16,0,0
31/07/2020,1346,-77,152,214,-10,16,11,0,0
01/08/2020,1628,,,,,,,,
02/08/2020,1192,,,,,,,,
03/08/2020,556,,142,,,29,,,
04/08/2020,1039,-36,139,152,4,21,11,7,-9
05/08/2020,1695,-14,137,142,-4,15,9,0,0
06/08/2020,1604,-88,141,210,6,21,7,0,0
07/08/2020,2288,-49,136,166,-7,20,12,0,0
08/08/2020,2184,,,,,,,0,0
09/08/2020,1885,,,,,,,0,0
10/08/2020,785,,180,,,28,,0,0
11/08/2020,1397,-33,191,190,-5,21,15,99,-1
12/08/2020,2524,-121,143,235,-12,17,17,0,0
13/08/2020,2669,-27,201,191,-5,25,17,0,0
14/08/2020,2846,-36,173,185,-7,20,18,0,0
15/08/2020,3310,,87,,,15,3,0,0
16/08/2020,3015,,33,,,2,1,0,0
17/08/2020,493,,234,,,34,19,0,0
18/08/2020,2238,-102,185,244,-4,28,16,186,6
19/08/2020,3776,-17,162,158,-6,31,17,0,0
20/08/2020,4771,-58,149,175,6,28,12,0,0
21/08/2020,4586,-3,210,187,-1,37,23,0,0
22/08/2020,3602,-34,115,121,1,10,9,0,0
23/08/2020,4897,-2,29,23,3,6,1,0,0
24/08/2020,1955,-19,233,226,16,43,15,0,0
25/08/2020,3304,-90,265,325,11,49,21,113,-5
26/08/2020,5429,,215,,,21,,0,0
27/08/2020,6111,,225,,,32,,0,0
28/08/2020,7379,0,241,193,6,32,19,40,1
29/08/2020,5453,-5,135,121,13,28,6,0,0
30/08/2020,5413,5,23,12,2,5,4,0,0
31/08/2020,3082,47,254,159,7,45,29,0,0
