Date,Cas_confirmés,Hospitalisations,Guérisons,En_réanimation,Décès_en_hopital,Cas_totaux_EHPAD_et_EMS,Cas_confirmés_EHPAD_et_EMS,Décès_EHPAD_et_EMS
24/01/2020,3,,,,,,,
25/01/2020,,,,,,,,
26/01/2020,,,,,,,,
27/01/2020,,,,,,,,
28/01/2020,4,,,1,,,,
29/01/2020,5,,,2,,,,
30/01/2020,6,,,,,,,
31/01/2020,,,,,,,,
01/02/2020,,,,,,,,
02/02/2020,,,,1,,,,
03/02/2020,,,,,,,,
04/02/2020,,,,,,,,
05/02/2020,,,,,,,,
06/02/2020,,,,,,,,
07/02/2020,11,,,,,,,
08/02/2020,,,,,,,,
09/02/2020,,,,,,,,
10/02/2020,,,,,,,,
11/02/2020,,,,,,,,
12/02/2020,,,2,,,,,
13/02/2020,,,3,,,,,
14/02/2020,,,,1,1,,,
15/02/2020,12,7,4,,1,,,
16/02/2020,,,,,1,,,
17/02/2020,,,,,1,,,
18/02/2020,,,,,1,,,
19/02/2020,,4,7,,1,,,
20/02/2020,,11,,,1,,,
21/02/2020,,1,10,,1,,,
22/02/2020,,,,,1,,,
23/02/2020,,1,,,1,,,
24/02/2020,,,,,1,,,
25/02/2020,14,2,,2,1,,,
26/02/2020,18,4,12,,2,,,
27/02/2020,38,24,,,2,,,
28/02/2020,57,,,,2,,,
29/02/2020,100,86,,9,2,,,
01/03/2020,130,116,,,2,,,
02/03/2020,191,,,,3,,,
03/03/2020,212,,12,,4,,,
04/03/2020,285,,,15,4,,,
05/03/2020,423,,,23,7,,,
06/03/2020,613,,,39,9,,,
07/03/2020,949,,,45,16,,,
08/03/2020,1126,,,,19,,,
09/03/2020,1412,,,66,25,,,
10/03/2020,1784,,,86,33,,,
11/03/2020,2281,,,105,48,,,
12/03/2020,2876,,,129,61,,,
13/03/2020,3661,,,154,79,,,
14/03/2020,4500,,,300,91,,,
15/03/2020,6378,285,,,161,,,
16/03/2020,6633,,,,148,,,
17/03/2020,7730,2579,602,699,175,,,
18/03/2020,9134,3626,1000,931,264,,,
19/03/2020,10995,4461,1300,1122,372,,,
20/03/2020,12612,5226,1587,1297,450,,,
21/03/2020,14459,6172,1811,1525,562,,,
22/03/2020,16689,7240,2200,1746,674,,,
23/03/2020,19856,8675,2567,2082,860,,,
24/03/2020,22302,10176,3281,2516,1100,,,
25/03/2020,25233,11539,3900,2827,1331,,,
26/03/2020,29155,13904,4948,3375,1696,,,
27/03/2020,32964,15732,5698,3787,1995,,,
28/03/2020,37575,17620,6624,4273,2314,,,
29/03/2020,40174,19354,7131,4632,2606,,,
30/03/2020,44550,21008,7924,5107,3024,,,
31/03/2020,52128,22757,9444,5565,3523,,,
01/04/2020,56989,24639,10935,6017,4032,,,371
02/04/2020,59105,26246,12428,6399,4503,,,884
03/04/2020,64338,27432,14008,6662,5091,,,1416
04/04/2020,68605,28143,15438,6838,5532,,,2028
05/04/2020,70478,28891,16183,6978,5889,,,2189
06/04/2020,74390,29722,17250,7072,6494,,,2417
07/04/2020,78167,30027,19337,7131,7091,,,3237
08/04/2020,82048,30375,21254,7148,7632,,,3237
09/04/2020,86334,30767,23206,7066,8044,,,4166
10/04/2020,90676,31267,24932,7004,8598,,,4599
11/04/2020,93790,31320,26931,6883,8943,,,4889
12/04/2020,95403,31826,27186,6845,9253,37188,11958,5140
13/04/2020,98076,32113,27718,6821,9588,38703,12481,5379
14/04/2020,103573,32292,28805,6730,10129,39730,13050,5600
15/04/2020,106206,31779,30995,6457,10643,41657,14393,6524
16/04/2020,108847,31305,32812,6248,11060,56180,18967,6860
17/04/2020,109252,31190,34420,6027,11478,58989,20272,7203
18/04/2020,111821,30639,35983,5833,11842,62135,22163,7481
19/04/2020,112606,30610,36578,5744,12069,63336,23048,7649
20/04/2020,114657,30584,37409,5683,12513,64117,23668,7752
21/04/2020,117324,30106,39181,5433,12900,,,7896
22/04/2020,119151,29741,40657,5218,13236,,25513,8104
23/04/2020,120804,29219,42088,5053,13547,64219,26840,8309
24/04/2020,122577,28658,43493,4870,13852,65131,27880,8393
25/04/2020,124114,28222,44594,4725,14050,66500,29126,8564
26/04/2020,124575,28217,44903,4682,14202,67168,29643,8654
27/04/2020,128339,28055,45513,4608,14497,67730,30227,8796
28/04/2020,129859,27484,46886,4387,14810,69893,30817,8850
29/04/2020,128442,26834,48228,4207,15053,69773,31795,9034
30/04/2020,129581,26283,49476,4019,15244,69952,32355,9132
01/05/2020,130185,25887,50212,3878,15369,69952,32791,9225
02/05/2020,130979,25827,50562,3827,15487,70688,33271,9273
03/05/2020,131287,25815,50784,3819,15583,70767,33361,9312
04/05/2020,131863,25548,51371,3696,15826,71390,33791,9375
05/05/2020,132967,24775,52736,3430,16060,71692,34108,9471
06/05/2020,137150,23983,53972,3147,16237,71548,34507,9572
07/05/2020,137779,23208,55027,2961,16386,71665,34653,9601
08/05/2020,138421,22724,55782,2868,16497,72548,34890,9733
09/05/2020,138854,22614,56038,2812,16573,72850,35046,9737
10/05/2020,139063,22569,56217,2776,16642,73143,35236,9738
11/05/2020,139519,22284,56724,2712,16820,73099,35195,9823
12/05/2020,140227,21595,57785,2542,17003,73435,35437,9988
13/05/2020,140734,21071,58673,2428,17101,72930,35604,9973
14/05/2020,141356,20463,59605,2299,17224,73334,35820,10201
15/05/2020,141919,19861,60448,2203,17342,73713,36126,10187
16/05/2020,142291,19432,61066,2132,17412,73249,36175,10213
17/05/2020,142411,19361,61213,2087,17466,73619,36461,10642
